EventCount, EventType, OldIDs, NewID, Time, NewVol, X, Y, Z, U, V, W, L1, L2, L3
98, Split,1,79, 1.34224E+01,8.1774123814030021E-04,  1.047708658593E+01,  7.559089469407E-01, -9.922816107988E-01,  9.140274332331E-01,  2.288520449738E-01, -1.802250857186E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
99, Split,77,80, 1.34422E+01,1.3321937657690882E-06,  7.721648787481E+00, -8.669223280095E-01, -1.242187500000E+00,  1.592959858235E-02,  8.987788366629E-02,  2.093719904916E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
100, Split,77,81, 1.34422E+01,1.4080002457361968E-07,  7.842695837127E+00, -1.003609884809E+00, -1.242187500000E+00, -5.391278042475E-02,  1.145086259893E-01,  1.953229461297E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
101, Split,1,82, 1.34616E+01,7.1308112494025411E-03,  1.031299623385E+01, -9.609294716308E-01, -1.043872202946E+00,  5.718469221472E-01, -2.697597336906E-02, -2.122423678433E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
102, Split,1,83, 1.34616E+01,1.9768918858896611E-04,  1.081183984940E+01, -2.850982928886E-01,  8.492738096036E-01,  9.253019565281E-01, -1.635911584346E-01,  4.517109152294E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
103, Split,1,84, 1.34812E+01,5.2540741355096158E-04,  1.085234478209E+01, -3.703156451817E-01,  5.528361204985E-01,  1.066094149709E+00, -1.645187102917E-01, -6.147466113224E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
104, Split,1,85, 1.35005E+01,5.4939834103684090E-04,  8.598827503754E+00, -7.250946381454E-01,  7.150032422557E-01,  2.797432369779E-01, -4.278899456963E-02, -5.138373000447E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
105, Merge,1;78;,1, 1.35199E+01,1.0568311005569559E+01
106, Split,1,86, 1.35199E+01,1.7230925836114078E-03,  8.498910780160E+00, -1.276485548942E+00, -9.666601803181E-01,  2.697314139806E-01,  1.338750590561E-02,  3.841177063770E-02,  7.167131184524E+02,  2.675930215123E+02,  7.037111388027E+01
107, Split,46,87, 1.35390E+01,1.6853894903040413E-04,  8.125707003372E+00, -7.574388974484E-01, -1.084322065582E+00,  2.115980617979E-01,  1.461531068349E-01,  1.263913503814E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
